Raw	Instrument	LC_column	Celltype	Label	Set	Real_single_cell	LCMS_batch	Sort_day	Digest	id
wJD1181	Q-Exactive	AUR2-15075C18A	Melanoma	8	36	TRUE	A	A	A	id108
wJD1182	Q-Exactive	AUR2-15075C18A	U-937	0	37	TRUE	A	A	A	id109
wJD1182	Q-Exactive	AUR2-15075C18A	Melanoma	4	37	TRUE	A	A	A	id110
wJD1182	Q-Exactive	AUR2-15075C18A	PDAC	8	37	TRUE	A	A	A	id111
wJD1183	Q-Exactive	AUR2-15075C18A	U-937	0	38	TRUE	A	A	A	id112
wJD1183	Q-Exactive	AUR2-15075C18A	Melanoma	4	38	TRUE	A	A	A	id113
wJD1183	Q-Exactive	AUR2-15075C18A	PDAC	8	38	TRUE	A	A	A	id114
wJD1184	Q-Exactive	AUR2-15075C18A	U-937	0	39	TRUE	A	A	A	id115
wJD1184	Q-Exactive	AUR2-15075C18A	Melanoma	4	39	TRUE	A	A	A	id116
wJD1184	Q-Exactive	AUR2-15075C18A	PDAC	8	39	TRUE	A	A	A	id117
wJD1185	Q-Exactive	AUR2-15075C18A	Melanoma	0	40	TRUE	A	A	A	id118
wJD1185	Q-Exactive	AUR2-15075C18A	PDAC	4	40	TRUE	A	A	A	id119
wJD1185	Q-Exactive	AUR2-15075C18A	U-937	8	40	TRUE	A	A	A	id120
wJD1186	Q-Exactive	AUR2-15075C18A	Melanoma	0	41	TRUE	A	A	A	id121
wJD1186	Q-Exactive	AUR2-15075C18A	PDAC	4	41	TRUE	A	A	A	id122
wJD1186	Q-Exactive	AUR2-15075C18A	U-937	8	41	TRUE	A	A	A	id123
wJD1187	Q-Exactive	AUR2-15075C18A	Melanoma	0	42	TRUE	A	A	A	id124
wJD1187	Q-Exactive	AUR2-15075C18A	PDAC	4	42	TRUE	A	A	A	id125
wJD1187	Q-Exactive	AUR2-15075C18A	U-937	8	42	TRUE	A	A	A	id126
wJD1188	Q-Exactive	AUR2-15075C18A	PDAC	0	43	TRUE	A	A	A	id127
wJD1188	Q-Exactive	AUR2-15075C18A	U-937	4	43	TRUE	A	A	A	id128
wJD1188	Q-Exactive	AUR2-15075C18A	Melanoma	8	43	TRUE	A	A	A	id129
wJD1189	Q-Exactive	AUR2-15075C18A	PDAC	0	44	TRUE	A	A	A	id130
wJD1189	Q-Exactive	AUR2-15075C18A	U-937	4	44	TRUE	A	A	A	id131
wJD1189	Q-Exactive	AUR2-15075C18A	Melanoma	8	44	TRUE	A	A	A	id132
wJD1190	Q-Exactive	AUR2-15075C18A	PDAC	0	45	TRUE	A	A	A	id133
wJD1190	Q-Exactive	AUR2-15075C18A	U-937	4	45	TRUE	A	A	A	id134
