Raw.file	celltype	id	cvm	RI
XwGH0515	untreated	i351	0.328778342903771	Reporter.intensity.corrected.15
XwGH0515	LPS	i352	0.279765179062843	Reporter.intensity.corrected.16
XwGH0517	LPS	i358	0.304892230468286	Reporter.intensity.corrected.6
XwGH0517	LPS	i359	0.535388480735783	Reporter.intensity.corrected.7
XwGH0517	untreated	i360	0.356119809390585	Reporter.intensity.corrected.8
XwGH0517	untreated	i361	0.324383547006553	Reporter.intensity.corrected.9
XwGH0517	untreated	i362	0.309174490682023	Reporter.intensity.corrected.10
XwGH0517	untreated	i363	0.341654999283833	Reporter.intensity.corrected.11
XwGH0517	untreated	i364	0.282922914139382	Reporter.intensity.corrected.12
XwGH0517	control	i365	0.684893973783301	Reporter.intensity.corrected.13
XwGH0517	LPS	i366	0.33435522614969	Reporter.intensity.corrected.14
XwGH0517	LPS	i367	0.552699803071043	Reporter.intensity.corrected.15
XwGH0517	LPS	i368	0.314244759335086	Reporter.intensity.corrected.16
XwGH0518	LPS	i374	0.281253038090729	Reporter.intensity.corrected.6
XwGH0518	LPS	i375	0.37605804221327	Reporter.intensity.corrected.7
XwGH0518	LPS	i376	0.296049667185049	Reporter.intensity.corrected.8
XwGH0518	untreated	i377	0.297416840733883	Reporter.intensity.corrected.9
XwGH0518	untreated	i378	0.374837139703046	Reporter.intensity.corrected.10
XwGH0518	untreated	i379	0.312007730677726	Reporter.intensity.corrected.11
XwGH0503	LPS	i38	0.298476935505774	Reporter.intensity.corrected.6
XwGH0518	untreated	i380	0.309743863127603	Reporter.intensity.corrected.12
XwGH0518	untreated	i381	0.30985563555853	Reporter.intensity.corrected.13
XwGH0518	LPS	i382	0.287193365631443	Reporter.intensity.corrected.14
XwGH0518	control	i383	0.627668656446987	Reporter.intensity.corrected.15
XwGH0518	LPS	i384	0.2985132590602	Reporter.intensity.corrected.16
XwGH0503	LPS	i39	0.317667606219922	Reporter.intensity.corrected.7
XwGH0520	LPS	i390	0.294895230078071	Reporter.intensity.corrected.6
XwGH0520	LPS	i391	0.303446550707124	Reporter.intensity.corrected.7
XwGH0520	LPS	i392	0.360990505224195	Reporter.intensity.corrected.8
XwGH0520	LPS	i393	0.29017769478712	Reporter.intensity.corrected.9
XwGH0520	LPS	i394	0.29322110479862	Reporter.intensity.corrected.10
XwGH0520	untreated	i395	0.339886911881208	Reporter.intensity.corrected.11
XwGH0520	untreated	i396	0.365077216808887	Reporter.intensity.corrected.12
XwGH0520	untreated	i397	0.345562446999659	Reporter.intensity.corrected.13
XwGH0520	untreated	i398	0.354388869508268	Reporter.intensity.corrected.14
XwGH0520	untreated	i399	0.314490556263279	Reporter.intensity.corrected.15
XwGH0503	LPS	i40	0.352560503067834	Reporter.intensity.corrected.8
XwGH0520	control	i400	0.629658003337421	Reporter.intensity.corrected.16
XwGH0521	LPS	i406	0.632326996282443	Reporter.intensity.corrected.6
XwGH0521	untreated	i407	0.423703823289325	Reporter.intensity.corrected.7
XwGH0521	untreated	i408	0.303762353830233	Reporter.intensity.corrected.8
XwGH0521	untreated	i409	0.312269496283136	Reporter.intensity.corrected.9
XwGH0503	LPS	i41	0.327176514587409	Reporter.intensity.corrected.9
XwGH0521	untreated	i410	0.358026137888224	Reporter.intensity.corrected.10
XwGH0521	untreated	i411	0.398798156528626	Reporter.intensity.corrected.11
XwGH0521	untreated	i412	0.356513258505052	Reporter.intensity.corrected.12
XwGH0521	LPS	i413	0.303740485684444	Reporter.intensity.corrected.13
XwGH0521	LPS	i414	0.316545603915363	Reporter.intensity.corrected.14
XwGH0521	LPS	i415	0.331754448272643	Reporter.intensity.corrected.15
XwGH0521	LPS	i416	0.3357271661227	Reporter.intensity.corrected.16
XwGH0503	untreated	i42	0.367522631132711	Reporter.intensity.corrected.10
XwGH0524	LPS	i422	0.309146305810866	Reporter.intensity.corrected.6
XwGH0524	LPS	i423	0.310644775144541	Reporter.intensity.corrected.7
XwGH0524	LPS	i424	0.330886279242996	Reporter.intensity.corrected.8
XwGH0524	LPS	i425	0.315166533751004	Reporter.intensity.corrected.9
XwGH0524	untreated	i426	0.341574144875657	Reporter.intensity.corrected.10
XwGH0524	untreated	i427	0.30231505062628	Reporter.intensity.corrected.11
XwGH0524	untreated	i428	0.357191060163088	Reporter.intensity.corrected.12
XwGH0524	untreated	i429	0.32831886239078	Reporter.intensity.corrected.13
XwGH0503	untreated	i43	0.383523863045832	Reporter.intensity.corrected.11
XwGH0524	control	i430	0.666680502837193	Reporter.intensity.corrected.14
XwGH0524	untreated	i431	0.57247281603736	Reporter.intensity.corrected.15
XwGH0524	LPS	i432	0.340471628215511	Reporter.intensity.corrected.16
XwGH0529	untreated	i438	0.320632286866232	Reporter.intensity.corrected.6
XwGH0529	untreated	i439	0.406772967059195	Reporter.intensity.corrected.7
XwGH0503	untreated	i44	0.324249814541221	Reporter.intensity.corrected.12
XwGH0529	control	i440	0.666610451543508	Reporter.intensity.corrected.8
XwGH0529	LPS	i441	0.337087055023156	Reporter.intensity.corrected.9
XwGH0529	LPS	i442	0.306618190712491	Reporter.intensity.corrected.10
XwGH0529	LPS	i443	0.314007687658626	Reporter.intensity.corrected.11
XwGH0529	LPS	i444	0.337205948452091	Reporter.intensity.corrected.12
XwGH0529	LPS	i445	0.316386927216467	Reporter.intensity.corrected.13
XwGH0529	untreated	i446	0.377381343443811	Reporter.intensity.corrected.14
XwGH0529	untreated	i447	0.514616743746848	Reporter.intensity.corrected.15
XwGH0529	untreated	i448	0.340204011357051	Reporter.intensity.corrected.16
XwGH0503	untreated	i45	0.343338291461467	Reporter.intensity.corrected.13
XwGH0533	untreated	i454	0.285386186239482	Reporter.intensity.corrected.6
XwGH0533	untreated	i455	0.349160836327844	Reporter.intensity.corrected.7
XwGH0533	untreated	i456	0.302760299516442	Reporter.intensity.corrected.8
XwGH0533	untreated	i457	0.354931759886371	Reporter.intensity.corrected.9
XwGH0533	untreated	i458	0.323625899088635	Reporter.intensity.corrected.10
XwGH0533	control	i459	0.697467961164545	Reporter.intensity.corrected.11
XwGH0503	control	i46	0.659119741916675	Reporter.intensity.corrected.14
XwGH0533	LPS	i460	0.324751231165168	Reporter.intensity.corrected.12
XwGH0533	LPS	i461	0.307064569706801	Reporter.intensity.corrected.13
XwGH0533	LPS	i462	0.300100645420527	Reporter.intensity.corrected.14
XwGH0533	LPS	i463	0.317529457911705	Reporter.intensity.corrected.15
XwGH0533	LPS	i464	0.319879577821118	Reporter.intensity.corrected.16
XwGH0503	untreated	i47	0.314399743361618	Reporter.intensity.corrected.15
XwGH0534	untreated	i470	0.332035593752859	Reporter.intensity.corrected.6
XwGH0534	untreated	i471	0.308176722848862	Reporter.intensity.corrected.7
XwGH0534	untreated	i472	0.305925483100479	Reporter.intensity.corrected.8
XwGH0534	control	i473	0.693840317880782	Reporter.intensity.corrected.9
XwGH0534	LPS	i474	0.315291254373533	Reporter.intensity.corrected.10
XwGH0534	LPS	i475	0.308543273160772	Reporter.intensity.corrected.11
XwGH0534	LPS	i476	0.290977329117858	Reporter.intensity.corrected.12
XwGH0534	LPS	i477	0.291699843461976	Reporter.intensity.corrected.13
XwGH0534	untreated	i478	0.358677199966213	Reporter.intensity.corrected.14
XwGH0534	LPS	i479	0.284332637055859	Reporter.intensity.corrected.15
XwGH0503	LPS	i48	0.336966787634333	Reporter.intensity.corrected.16
XwGH0534	untreated	i480	0.304091043910172	Reporter.intensity.corrected.16
XwGH0525	LPS	i486	0.384154940661561	Reporter.intensity.corrected.6
XwGH0525	LPS	i487	0.391887861768924	Reporter.intensity.corrected.7
XwGH0525	LPS	i488	0.486950727107378	Reporter.intensity.corrected.8
XwGH0525	LPS	i489	0.321957663761396	Reporter.intensity.corrected.9
XwGH0525	LPS	i490	0.33013544161852	Reporter.intensity.corrected.10
XwGH0525	untreated	i491	0.318835711797194	Reporter.intensity.corrected.11
XwGH0525	untreated	i492	0.310140749274785	Reporter.intensity.corrected.12
XwGH0525	untreated	i493	0.319641540706017	Reporter.intensity.corrected.13
XwGH0525	untreated	i494	0.420709793199383	Reporter.intensity.corrected.14
XwGH0525	untreated	i495	0.357571580153602	Reporter.intensity.corrected.15
XwGH0525	control	i496	0.556312705481874	Reporter.intensity.corrected.16
XwGH0527	untreated	i502	0.353550993655699	Reporter.intensity.corrected.6
XwGH0527	untreated	i503	0.405413885202496	Reporter.intensity.corrected.7
XwGH0527	untreated	i504	0.421726109262689	Reporter.intensity.corrected.8
XwGH0527	untreated	i505	0.355029421482878	Reporter.intensity.corrected.9
XwGH0527	untreated	i506	0.370702931258897	Reporter.intensity.corrected.10
XwGH0527	control	i507	0.527054596903164	Reporter.intensity.corrected.11
XwGH0527	LPS	i508	0.330173735520907	Reporter.intensity.corrected.12
XwGH0527	LPS	i509	0.408348707308247	Reporter.intensity.corrected.13
XwGH0527	LPS	i510	0.310167350752862	Reporter.intensity.corrected.14
XwGH0527	LPS	i511	0.315315747785078	Reporter.intensity.corrected.15
XwGH0527	LPS	i512	0.36609523438579	Reporter.intensity.corrected.16
XwGH0516	LPS	i518	0.314241102487201	Reporter.intensity.corrected.6
XwGH0516	LPS	i519	0.297907002645156	Reporter.intensity.corrected.7
XwGH0516	LPS	i520	0.303780427326628	Reporter.intensity.corrected.8
XwGH0516	LPS	i521	0.309731850827757	Reporter.intensity.corrected.9
XwGH0516	LPS	i522	0.323204319214552	Reporter.intensity.corrected.10
XwGH0516	untreated	i523	0.324143615383912	Reporter.intensity.corrected.11
XwGH0516	untreated	i524	0.328294132745557	Reporter.intensity.corrected.12
XwGH0516	untreated	i525	0.367415328624849	Reporter.intensity.corrected.13
XwGH0516	untreated	i526	0.327736146794624	Reporter.intensity.corrected.14
XwGH0516	untreated	i527	0.330662950559838	Reporter.intensity.corrected.15
XwGH0516	control	i528	0.594004999514363	Reporter.intensity.corrected.16
XwGH0532	untreated	i534	0.364635690102159	Reporter.intensity.corrected.6
XwGH0532	untreated	i535	0.355982051966028	Reporter.intensity.corrected.7
XwGH0532	control	i536	0.594689960000555	Reporter.intensity.corrected.8
XwGH0532	LPS	i537	0.365473581617669	Reporter.intensity.corrected.9
XwGH0532	LPS	i538	0.313941597795196	Reporter.intensity.corrected.10
XwGH0532	LPS	i539	0.349911626022425	Reporter.intensity.corrected.11
XwGH0509	untreated	i54	0.327834366606286	Reporter.intensity.corrected.6
XwGH0532	LPS	i540	0.315286017071923	Reporter.intensity.corrected.12
XwGH0532	LPS	i541	0.355663388546847	Reporter.intensity.corrected.13
XwGH0532	untreated	i542	0.344850036117229	Reporter.intensity.corrected.14
XwGH0532	untreated	i543	0.292312386183346	Reporter.intensity.corrected.15
XwGH0532	untreated	i544	0.636257256763228	Reporter.intensity.corrected.16
XwGH0509	untreated	i55	0.714021192074515	Reporter.intensity.corrected.7
XwGH0505	untreated	i550	0.664885307402279	Reporter.intensity.corrected.6
XwGH0505	untreated	i551	0.348648821626715	Reporter.intensity.corrected.7
XwGH0505	untreated	i552	0.327698380339028	Reporter.intensity.corrected.8
XwGH0505	control	i553	0.681469650667467	Reporter.intensity.corrected.9
XwGH0505	LPS	i554	0.325950107821721	Reporter.intensity.corrected.10
XwGH0505	LPS	i555	0.311696339421282	Reporter.intensity.corrected.11
XwGH0505	LPS	i556	0.298949768345004	Reporter.intensity.corrected.12
XwGH0505	LPS	i557	0.329713223971807	Reporter.intensity.corrected.13
XwGH0505	untreated	i558	0.306550240504382	Reporter.intensity.corrected.14
XwGH0505	LPS	i559	0.323403471823401	Reporter.intensity.corrected.15
XwGH0509	untreated	i56	0.374400223490335	Reporter.intensity.corrected.8
XwGH0505	untreated	i560	0.316883717873747	Reporter.intensity.corrected.16
XwGH0514	untreated	i566	0.332639561800395	Reporter.intensity.corrected.6
XwGH0514	untreated	i567	0.359026170791777	Reporter.intensity.corrected.7
XwGH0514	untreated	i568	0.360483302750853	Reporter.intensity.corrected.8
XwGH0514	untreated	i569	0.316229344860892	Reporter.intensity.corrected.9
XwGH0509	untreated	i57	0.310787122339125	Reporter.intensity.corrected.9
XwGH0514	control	i570	0.700716641679341	Reporter.intensity.corrected.10
XwGH0514	LPS	i571	0.304905107829221	Reporter.intensity.corrected.11
XwGH0514	LPS	i572	0.298925146528035	Reporter.intensity.corrected.12
XwGH0514	LPS	i573	0.334083643734558	Reporter.intensity.corrected.13
XwGH0514	LPS	i574	0.299629139603706	Reporter.intensity.corrected.14
XwGH0514	LPS	i575	0.324569308087589	Reporter.intensity.corrected.15
XwGH0514	untreated	i576	0.311357105942664	Reporter.intensity.corrected.16
XwGH0509	control	i58	0.75449977854909	Reporter.intensity.corrected.10
XwGH0523	untreated	i582	0.304312463735575	Reporter.intensity.corrected.6
XwGH0523	untreated	i583	0.344841911496107	Reporter.intensity.corrected.7
XwGH0523	untreated	i584	0.331264048052585	Reporter.intensity.corrected.8
XwGH0523	untreated	i585	0.345497596291065	Reporter.intensity.corrected.9
XwGH0523	control	i586	0.710673298350818	Reporter.intensity.corrected.10
XwGH0523	LPS	i587	0.34055450270965	Reporter.intensity.corrected.11
XwGH0523	LPS	i588	0.296377254280999	Reporter.intensity.corrected.12
XwGH0523	LPS	i589	0.297981011121296	Reporter.intensity.corrected.13
XwGH0509	LPS	i59	0.3332643043052	Reporter.intensity.corrected.11
XwGH0523	LPS	i590	0.30527436673473	Reporter.intensity.corrected.14
XwGH0523	LPS	i591	0.310421193068595	Reporter.intensity.corrected.15
XwGH0523	untreated	i592	0.329054435469684	Reporter.intensity.corrected.16
XwGH0508	LPS	i598	0.338959259570097	Reporter.intensity.corrected.6
